locale,name,script,script_type,mean_delta,n_models,old,new
lg,Ganda,Latn,alphabet,0.008399999999999963,7,0.9583,0.9667
ny,Nyanja,Latn,alphabet,0.008399999999999963,11,0.9582999999999999,0.9666999999999999
szl,Silesian,Latn,alphabet,0.008385714285714283,7,0.9567428571428572,0.9651285714285714
smn,Inari Sami,Latn,alphabet,0.008314285714285703,7,0.9557428571428571,0.9640571428571428
az,Azerbaijani,Latn,alphabet,0.008099999999999996,3,0.9596,0.9677000000000001
kcg,Tyap,Latn,alphabet,0.008000000000000007,14,0.96,0.968
sl,Slovenian,Latn,alphabet,0.008000000000000007,2,0.96,0.968
quc,Kʼicheʼ,Latn,alphabet,0.008000000000000007,5,0.96,0.968
dyo,Jola-Fonyi,Latn,alphabet,0.007999999999999976,7,0.9598571428571429,0.9678571428571427
dsb,Lower Sorbian,Latn,alphabet,0.007863636363636416,11,0.9607,0.9685636363636365
ht,Haitian Creole,Latn,alphabet,0.007699999999999929,2,0.9615,0.9692
fr,French,Latn,alphabet,0.007514285714285728,7,0.9626,0.9701142857142857
vo,Volapük,Latn,alphabet,0.007400000000000073,2,0.963,0.9704
hr,Croatian,Latn,alphabet,0.007400000000000073,2,0.9574499999999999,0.96485
bs,Bosnian,Latn,alphabet,0.007400000000000073,2,0.9574499999999999,0.96485
wa,Walloon,Latn,alphabet,0.007357142857142888,7,0.9634142857142857,0.9707714285714287
frr,Northern Frisian,Latn,alphabet,0.007099999999999995,2,0.95895,0.9660500000000001
ksh,Colognian,Latn,alphabet,0.007000000000000034,4,0.9652499999999999,0.9722500000000001
bew,Betawi,Latn,alphabet,0.006900000000000017,7,0.9654999999999999,0.9724
gsw,Swiss German,Latn,alphabet,0.006900000000000017,2,0.9655,0.9724
de,German,Latn,alphabet,0.00660000000000005,2,0.9667,0.9733
nds,Low German,Latn,alphabet,0.00660000000000005,2,0.9667,0.9733
ie,Interlingue,Latn,alphabet,0.00649999999999995,2,0.9677,0.9742
fi,Finnish,Latn,alphabet,0.00649999999999995,2,0.9677,0.9742
