model,locale,name,script,script_type,old_score,new_score,norm_score,comparability,delta
mistralai/Mistral-Nemo-Base-2407,prg,Prussian,Latn,alphabet,0.9487,0.959,,direct,0.010299999999999976
mistralai/Mistral-Nemo-Base-2407,ps,Pashto,Arab,abjad,0.9783,0.9817,,direct,0.0034000000000000696
mistralai/Mistral-Nemo-Base-2407,pt,Portuguese,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,qu,Quechua,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,quc,Kʼicheʼ,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,raj,Rajasthani,Deva,abugida,0.9939,0.9939,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,rhg,Rohingya,Rohg,abjad,0.0,0.2,,direct,0.2
mistralai/Mistral-Nemo-Base-2407,rif,Riffian,Latn,alphabet,0.7742,0.8194,,direct,0.04520000000000002
mistralai/Mistral-Nemo-Base-2407,rm,Romansh,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,rn,Rundi,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,ro,Romanian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,rof,Rombo,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,ru,Russian,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,rw,Kinyarwanda,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,rwk,Rwa,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sa,Sanskrit,Deva,abugida,0.83,0.8614,,direct,0.031400000000000095
mistralai/Mistral-Nemo-Base-2407,sah,Yakut,Cyrl,alphabet,0.9231,0.9385,,direct,0.01539999999999997
mistralai/Mistral-Nemo-Base-2407,saq,Samburu,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sat,Santali,Olck,alphabet,0.0,0.2,,direct,0.2
mistralai/Mistral-Nemo-Base-2407,sbp,Sangu,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sc,Sardinian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,scn,Sicilian,Latn,alphabet,0.9697,0.9758,,direct,0.006099999999999994
mistralai/Mistral-Nemo-Base-2407,sd,Sindhi,Arab,abjad,0.6538,0.7231,,direct,0.06929999999999992
mistralai/Mistral-Nemo-Base-2407,sdh,Southern Kurdish,Arab,abjad,0.8235,0.8588,,direct,0.0353
mistralai/Mistral-Nemo-Base-2407,se,Northern Sami,Latn,alphabet,0.931,0.9448,,direct,0.013799999999999923
mistralai/Mistral-Nemo-Base-2407,seh,Sena,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,ses,Koyraboro Senni,Latn,alphabet,0.9375,0.95,,direct,0.012499999999999956
mistralai/Mistral-Nemo-Base-2407,sg,Sango,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,shi,Tachelhit,Tfng,alphabet,0.0,0.2,,direct,0.2
mistralai/Mistral-Nemo-Base-2407,shn,Shan,Mymr,abugida,0.4565,0.5652,,direct,0.10870000000000002
